,geography-state_name,plot_details-polygon
30,southwest..,3.2076533 43.4803706 455.10917015870393 4.304; 3.207643 43.4803017 454.86690697312633 5.819; 3.207643 43.4801408 455.47102465841857 4.167; 3.207615 43.4798947 455.0543526463064 5.488; 3.2075739 43.479647 454.99953548331905 4.703; 3.2075605 43.4794285 455.29792035909423 4.431; 3.2075112 43.4792598 455.94355171330324 4.767; 3.2073425 43.479241 455.2663312012468 4.372; 3.2071344 43.4792927 455.3878204147065 5.589; 3.2068805 43.4793515 455.3878204147065 4.678; 3.206731 43.479382 455.43817373238926 8.031; 3.2065185 43.4795748 455.3869279451411 6.587; 3.206324 43.479649 455.2860650981625 7.772; 3.2061268 43.4795679 455.22117715271565 4.718; 3.2060159 43.4797475 455.47879480671213 4.808; 3.2059768 43.4798418 454.9339443728846 6.706; 3.2061159 43.4800855 455.4224907833737 4.809; 3.2062281 43.4802081 455.8593227826382 6.683; 3.2071289 43.4805205 456.6428411007792 5.311; 3.2073803 43.4804587 456.3454523904762 3.715; 3.2076533 43.4803706 455.10917015870393 4.304
31,southwest..,3.2085293 43.4808471 465.738525390625 4.505; 3.2085325 43.4809041 456.1245977442974 7.35; 3.2086412 43.4811158 455.9974114357411 5.601; 3.2087012 43.4813639 455.58500078581983 5.376; 3.2087895 43.48155 455.49368306682135 4.441; 3.2088487 43.4818113 455.39281193855135 4.437; 3.2088975 43.4819992 454.8542970951068 4.697; 3.208772 43.4820713 455.2644899610526 4.54; 3.2085526 43.4820062 455.32702705752683 4.742; 3.2083524 43.481978 455.0474008223484 4.643; 3.2082007 43.4819356 454.87417200641244 4.549; 3.2080183 43.4819942 455.4293114100796 5.817; 3.2079538 43.4819435 455.14063929398634 7.147; 3.2079366 43.481683 455.19984438109196 4.498; 3.2078968 43.4814877 455.06970151455585 4.708; 3.207845 43.4813217 455.26064500189096 4.42; 3.2077457 43.4811364 455.5259613560401 4.393; 3.207689 43.4809597 455.05453711973155 4.695; 3.2085293 43.4808471 465.738525390625 4.505
32,southwest..,3.1876384 43.4574681 455.83057777052124 4.837; 3.1876287 43.4574489 454.8374078132259 3.078; 3.1876438 43.4574416 454.3993367687182 4.29; 3.1877081 43.4582283 455.4943802380948 8.184; 3.1877526 43.4584199 455.3753278203877 7.174; 3.1877843 43.4585113 455.0336124423826 7.108; 3.1877523 43.4586226 455.240844664224 6.939; 3.1877675 43.4586185 454.73395427671585 4.644; 3.1877807 43.4586162 454.48659307786045 3.954; 3.1878608 43.4586335 453.96675413581136 6.282; 3.1879614 43.4586722 454.1559140430476 4.705; 3.188141 43.4587445 454.469592792918 4.903; 3.1882654 43.4588062 454.3256610260107 4.376; 3.1883471 43.4588296 454.380774403326 9.368; 3.1882247 43.4576496 456.2738156310778 4.186; 3.1882048 43.4576328 456.32232871576343 7.401; 3.1876384 43.4574681 455.83057777052124 4.837
33,southwest..,3.1871101 43.4559297 453.0520870457465 3.0; 3.1871063 43.4559075 452.63371649330577 3.246; 3.1871693 43.4558065 452.1277037536619 6.424; 3.1872294 43.4557221 452.334799431285 8.374; 3.1873029 43.4556125 452.2070164026668 7.416; 3.1873645 43.4555228 452.2806702656479 3.97; 3.1879321 43.4545038 453.44967674190013 6.632; 3.1879266 43.4544921 453.4484259359425 5.083; 3.1879315 43.4544801 453.35966052189644 4.117; 3.1878525 43.4543916 453.2689477669089 4.721; 3.1877412 43.4542795 452.8913853364022 4.139; 3.1877457 43.4542788 452.83037158941045 3.835; 3.1876623 43.4541433 452.98020993546766 4.15; 3.1875974 43.4540708 452.74179220098995 4.716; 3.1876075 43.4539019 452.1340818348524 4.71; 3.1876083 43.4537867 452.01525570991055 5.158; 3.1875905 43.453763 452.0108487844201 6.577; 3.1868526 43.4555942 453.04653837073784 5.54; 3.1868357 43.4556702 453.12807667693653 6.762; 3.1871101 43.4559297 453.0520870457465 3.0
34,southwest..,3.1805586 43.4761508 453.09365306692735 6.268; 3.1806209 43.4758074 452.1949449629067 8.327; 3.1805951 43.475115 454.14551384502636 5.332; 3.180492 43.4748768 452.9869362907865 5.049; 3.1803672 43.4749408 453.88537820164424 5.032; 3.1802555 43.4751237 453.9271905304863 4.608; 3.1801114 43.4752609 453.95405680400177 5.469; 3.1797996 43.4753625 454.1495249863284 6.476; 3.1795582 43.4754283 454.2643513936598 5.228; 3.179518 43.4756999 453.3874426383916 8.372; 3.1797295 43.4757914 454.2111460643782 9.393; 3.1799585 43.4756947 453.9048263876027 7.172; 3.1798233 43.4759627 454.14688057510386 5.056; 3.1799598 43.4761709 455.0712461796244 5.196; 3.180189 43.4763381 453.61687966751424 6.846; 3.1805586 43.4761508 453.09365306692735 6.268
35,southwest..,3.1800701 43.4774617 448.7030029296875 6.463; 3.1799404 43.4775775 452.47535661994334 6.599; 3.1798489 43.4778827 452.8841921612493 6.779; 3.1797895 43.4780039 453.16392696419985 6.357; 3.1795734 43.4781357 450.08391231873577 4.331; 3.1793566 43.4783278 450.46786416509235 4.889; 3.1791609 43.4784766 450.60866463835 5.213; 3.1789918 43.4783353 451.88351216699675 4.613; 3.1788336 43.4781587 451.8237668324314 4.878; 3.1786683 43.4779703 451.54690324266267 4.355; 3.1788037 43.4776397 451.3137047853942 5.89; 3.1789164 43.4774066 451.45841086488804 7.593; 3.1790668 43.4769582 452.3957101403229 7.036; 3.179186 43.4767494 452.29229684321444 4.447; 3.1800289 43.4766989 452.09867529027395 5.777; 3.1800701 43.4774617 448.7030029296875 6.463
36,southwest.,2.1976214358565707 45.16190383583307 0.0 0.0; 2.1970274283740157 45.16144618391991 0.0 0.0; 2.1971192265001336 45.16219988465309 0.0 0.0; 2.1967788363399556 45.16189880669117 0.0 0.0; 2.1976214358565707 45.16190383583307 0.0 0.0
37,southwest.,2.193684163580676 45.18220614641905 0.0 0.0; 2.1934107787353936 45.18185779452324 0.0 0.0; 2.1931484498479046 45.18210656940937 0.0 0.0; 2.193684163580676 45.18220614641905 0.0 0.0
38,southwest.,2.2231910051498636 45.21279204636812 0.0 0.0; 2.2286267556931394 45.21260965615511 0.0 0.0; 2.2280016035231744 45.20961597561836 0.0 0.0; 2.2232412587135113 45.21050646901131 0.0 0.0; 2.2231910051498636 45.21279204636812 0.0 0.0
39,southwest.,2.2318268874010605 45.21801095455885 0.0 0.0; 2.2342179360374175 45.22032871842384 0.0 0.0; 2.2320681030767497 45.22213116288185 0.0 0.0; 2.230599367016129 45.21977048367262 0.0 0.0; 2.2318268874010605 45.21801095455885 0.0 0.0
