Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Australian grevillea,1500,1000,FIREWOOD CONSTRUCTION ,,False,Kenya
,musemei,20,19,FIREWOOD CONSTRUCTION FODDER ,,False,Kenya
,mukengeya,400,250,FIREWOOD CONSTRUCTION SHADE ,,False,Kenya
,Muthingii,10,5,CONSTRUCTION FIREWOOD FODDER SHADE SOIL_FERTILITY ,,False,Kenya
,Mwarobaini,1000,800,CONSTRUCTION FIREWOOD FODDER SHADE SOIL_FERTILITY ,,False,Kenya
,lemon,195,190,FRUITS SOIL_FERTILITY ,,True,Kenya
,tomoko,3,2,FRUITS SOIL_FERTILITY FIREWOOD ,,True,Kenya
,Mwarobaini,1000,800,FODDER MEDICINAL FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Muvingo,100,42,FIREWOOD CONSTRUCTION ,Carving,False,Kenya
Grevillea robusta,mukima,200,163,FIREWOOD CONSTRUCTION ,,False,Kenya
,ash oak,13,12,OTHER ,making the compound beautiful,False,Kenya
,lucina,50,20,FIREWOOD FODDER ,,False,Kenya
,Ashock,800,750,SHADE SOIL_FERTILITY ,,False,Kenya
Mangifera indica,Mango,10,10,MEDICINAL FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,unknown,5,5,SHADE ,,False,Kenya
,umbrella tree,30,30,SHADE ,beautification,False,Kenya
,unknown,2,2,SHADE ,,False,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,"Moringa
Moringa",500,312,MEDICINAL SHADE ,,False,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,lucina,100,70,SHADE ,,False,Kenya
,mshilingi,1200,1150,CONSTRUCTION FIREWOOD SHADE ,,False,Kenya
Acacia tortillis,Mwaa,100,70,CONSTRUCTION FIREWOOD FODDER SHADE SOIL_FERTILITY ,,False,Kenya
,Kisemei,20,18,MEDICINAL SOIL_FERTILITY SHADE FODDER FIREWOOD ,,False,Kenya
,guava,4,4,FRUITS FODDER SOIL_FERTILITY FIREWOOD ,,True,Kenya
,melia,500,450,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False,Kenya
Carica papaya,pawpaw,20,8,FRUITS SOIL_FERTILITY ,,True,Kenya
Mangifera indica,mango,150,130,FRUITS FODDER SOIL_FERTILITY ,,True,Kenya
Carica papaya,pawpaw,20,8,FRUITS SOIL_FERTILITY ,,True,Kenya
,lucina,20,13,FIREWOOD SHADE FODDER CONSTRUCTION ,,False,Kenya
Unknown,gricedia,7,7,FIREWOOD SHADE SOIL_FERTILITY FODDER ,,False,Kenya
Unknown,gricedia,7,7,FIREWOOD SHADE SOIL_FERTILITY FODDER ,,False,Kenya
unknown,kitimu,5,4,FRUITS ,,True,Kenya
,kayava,100,50,OTHER ,as live fence,False,Kenya
Sterculia africana,African Star Chestnut,5,5,MEDICINAL CONSTRUCTION NUTS SHADE OTHER ,fibre,False,Kenya
,Australian grevillea,500,450,FIREWOOD CONSTRUCTION SHADE ,,False,Kenya
,Muvingo,10,5,CONSTRUCTION FIREWOOD FODDER SHADE SOIL_FERTILITY ,carving,False,Kenya
,guava,4,4,FRUITS FODDER SOIL_FERTILITY FIREWOOD ,,True,Kenya
,avacado,8,6,FRUITS SOIL_FERTILITY ,,True,Kenya
,avacado,8,6,FRUITS SOIL_FERTILITY ,,True,Kenya
Mangifera indica,mango,150,130,FRUITS FODDER SOIL_FERTILITY ,,True,Kenya
Psidium guajava,kivela,2,1,FRUITS ,,True,Kenya
Unknown,moringa,2,2,MEDICINAL LEAF_VEGETABLES FIREWOOD ,,False,Kenya
unknown,kisungwa,10,2,FRUITS ,,True,Kenya
,kalila,50,41,MEDICINAL FIREWOOD SHADE ,,False,Kenya
,Baobab,2,2,MEDICINAL NUTS FRUITS SHADE ,,True,Kenya
,Mkrismas,520,512,SHADE SOIL_FERTILITY ,,False,Kenya
Prunus africana,Mngima,100,100,SHADE ,,False,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
,Ashok,34,31,SHADE ,,False,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,mangoe,80,60,SHADE FRUITS FIREWOOD ,,True,Kenya
,kithulu,10,5,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
bamboo,Bamboo,200,200,SOIL_FERTILITY ,,False,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,mango tree,5,5,FRUITS SHADE ,,True,Kenya
,mpenda bure,30,25,SHADE ,,False,Kenya
,Mjohoro,27,23,SHADE ,,False,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mastafeli,15,7,SHADE FRUITS ,,True,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,mukengeta,800,500,FIREWOOD CONSTRUCTION SHADE ,,False,Kenya
,guava,4,4,FRUITS FODDER SOIL_FERTILITY FIREWOOD ,,True,Kenya
,tomoko,3,2,FRUITS SOIL_FERTILITY FIREWOOD ,,True,Kenya
,lemon,195,190,FRUITS SOIL_FERTILITY ,,True,Kenya
,tomoko,3,2,FRUITS SOIL_FERTILITY FIREWOOD ,,True,Kenya
,banana,10,8,FRUITS SOIL_FERTILITY ,,True,Kenya
,melia volkensii,300,250,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False,Kenya
terminalia mentally,umbrella tree,1,1,SHADE CONSTRUCTION ,,False,Kenya
Mangifera indica,kiembe,20,20,FRUITS ,,True,Kenya
unknown,ever green,2,2,SHADE ,,False,Kenya
Unknown,kikwasu,1,1,CONSTRUCTION MEDICINAL FRUITS FIREWOOD SHADE ,,True,Kenya
,kisambalau,1,1,FRUITS SHADE ,,True,Kenya
Azadirachta indica,Mwarubaini,800,700,MEDICINAL SHADE SOIL_FERTILITY ,,False,Kenya
,Croton,300,300,MEDICINAL SHADE ,,False,Kenya
,Moringa,10,8,MEDICINAL ,,False,Kenya
Delonix elata,,1,1,MEDICINAL ,,False,Kenya
,Makhamia,50,50,CONSTRUCTION SHADE ,,False,Kenya
Delonix elata,,15,15,MEDICINAL ,,False,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,lucina,20,8,SHADE ,,False,Kenya
,Ashok,50,38,SHADE ,beautification,False,Kenya
,grivellia,10,10,SHADE ,,False,Kenya
,Evergreen ash or tropical ash,15,15,SHADE ,,False,Kenya
,ashok,100,56,SHADE ,beautification,False,Kenya
,Mwarubaini,41,37,SHADE ,,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
,chokoti,10,7,FIREWOOD SHADE FRUITS ,,True,Kenya
,Zambarao,100,20,SHADE FRUITS ,,True,Kenya
,Pawpaw,100,35,MEDICINAL SHADE FRUITS ,,True,Kenya
,Banana,20,11,SHADE FRUITS ,,True,Kenya
Tamarindus indica,kikwasu,10,5,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
,mlezeni,24,16,SHADE ,,False,Kenya
,msoda,50,9,SHADE ,,False,Kenya
,mshilingi,1200,1150,CONSTRUCTION SHADE ,,False,Kenya
,cypress,10000,9000,CONSTRUCTION FIREWOOD ,,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus sinensis,Isungwa,1000,950,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,croton,80,64,SHADE ,,False,Kenya
,greuvelia,30,18,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
,gruevelia,200,180,SHADE FIREWOOD CONSTRUCTION ,,False,Kenya
,Kyumbu,1,1,CONSTRUCTION ,shrines,False,Kenya
,media volkensii,2000,1900,MEDICINAL FIREWOOD CONSTRUCTION SOIL_FERTILITY FODDER ,,False,Kenya
,grevillea,400,200,FIREWOOD CONSTRUCTION ,,False,Kenya
,Kiundwa,5,3,CONSTRUCTION FIREWOOD FODDER SHADE SOIL_FERTILITY ,,False,Kenya
,Kiuuku,10,8,CONSTRUCTION FIREWOOD FODDER SHADE SOIL_FERTILITY ,,False,Kenya
Tamarindus indica,Kikwasu,20,15,CONSTRUCTION FRUITS FIREWOOD FODDER SHADE SOIL_FERTILITY ,,True,Kenya
,Ndului,50,45,SOIL_FERTILITY SHADE FODDER FIREWOOD FRUITS ,,True,Kenya
,Mwarobaini,1000,800,SOIL_FERTILITY SHADE FODDER FIREWOOD CONSTRUCTION ,,False,Kenya
Citrus paradisi,pixie orange,200,199,FRUITS SOIL_FERTILITY ,,True,Kenya
,lemon,195,190,FRUITS SOIL_FERTILITY ,,True,Kenya
Citrus paradisi,pixie orange,200,199,FRUITS SOIL_FERTILITY ,,True,Kenya
Carica papaya,pawpaw,30,29,FRUITS SOIL_FERTILITY ,,True,Kenya
Croton megalocarpus,muthulu,30,26,FIREWOOD MEDICINAL SHADE FODDER CONSTRUCTION ,,False,Kenya
,kitimu,40,30,MEDICINAL FIREWOOD CONSTRUCTION FRUITS ,,True,Kenya
Unknown,kitomoko,2,1,FRUITS FIREWOOD ,,True,Kenya
,muchora mwiu,70,50,CONSTRUCTION OTHER FODDER ,for curvings,False,Kenya
Unknown,kipapai,40,20,FRUITS ,,True,Kenya
Mangifera indica,kiembe,3,3,FRUITS SHADE ,,True,Kenya
,Ash oak,3,2,CONSTRUCTION SHADE ,,False,Kenya
,Lusina,1800,1750,FODDER SHADE SOIL_FERTILITY ,,False,Kenya
,Palm,200,200,SHADE ,,False,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Grevillea robusta,Mukima,28,25,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,grafted apple mango,150,150,SHADE FRUITS FIREWOOD ,,True,Kenya
,moringa,25,20,SHADE LEAF_VEGETABLES MEDICINAL ,,False,Kenya
,Moringa,42,31,MEDICINAL SHADE ,,False,Kenya
,Mkungu,35,18,SHADE FRUITS ,,True,Kenya
,Acacia,1000,1000,SOIL_FERTILITY SHADE ,,False,Kenya
,Mkuyu,2300,1577,SOIL_FERTILITY SHADE ,,False,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
,croton,80,64,SHADE ,,False,Kenya
,mshilingi,1200,1150,CONSTRUCTION SHADE ,,False,Kenya
,Mukrismas,10,8,FIREWOOD FODDER SHADE SOIL_FERTILITY ,,False,Kenya
,banana,10,8,FRUITS SOIL_FERTILITY ,,True,Kenya
Carica papaya,pawpaw,30,29,FRUITS SOIL_FERTILITY ,,True,Kenya
,avacado,8,6,FRUITS SOIL_FERTILITY ,,True,Kenya
,banana,10,8,FRUITS SOIL_FERTILITY ,,True,Kenya
Carica papaya,pawpaw,30,29,FRUITS SOIL_FERTILITY ,,True,Kenya
Melia Volkensi,Mukau,10,5,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Kiuuku,20,15,FODDER MEDICINAL FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
Senna siemea,Muchola,500,450,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,melia,500,450,CONSTRUCTION FODDER SOIL_FERTILITY FIREWOOD ,,False,Kenya
,Mwarubaini,15,13,FIREWOOD MEDICINAL FODDER CONSTRUCTION ,,False,Kenya
senna siemea,muchora,20,19,FIREWOOD MEDICINAL SHADE CONSTRUCTION ,,False,Kenya
unknown,kalila,10,10,FIREWOOD MEDICINAL SHADE ,,False,Kenya
Mangifera indica,kiembe,50,5,FRUITS FIREWOOD ,,True,Kenya
,Eucalyptus,10,9,CONSTRUCTION FIREWOOD ,,False,Kenya
,Cypress,10,2,CONSTRUCTION FIREWOOD ,,False,Kenya
,Macadamia,10,6,NUTS ,,False,Kenya
,Macadamia,10,6,NUTS ,,False,Kenya
Cascabela thevetia,Msoda,3000,2800,MEDICINAL SHADE SOIL_FERTILITY ,,False,Kenya
,Kirumbutu,400,390,CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,Thika Palm,500,500,SHADE ,,False,Kenya
,mwarubaini,100,69,SHADE MEDICINAL ,,False,Kenya
,mwarubaini,30,7,SHADE MEDICINAL ,,False,Kenya
,ashok,30,30,SHADE ,,False,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Ndului,20,18,FODDER FIREWOOD CONSTRUCTION FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Pixie,3000,2500,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,Mukungu,10,5,FIREWOOD SHADE SOIL_FERTILITY ,,False,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Mwarobaini,50,38,FODDER FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
citrus osbec,Blood orange,100,95,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,kirumbutu,30,25,SHADE FIREWOOD CONSTRUCTION ,furniture,False,Kenya
,Bamboo,30,24,SHADE ,,False,Kenya
,Royal palm,20,15,SHADE SOIL_FERTILITY ,,False,Kenya
,Ashok,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
Mangifera indica,Mango,500,420,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
Citrus limon,itimo,1000,800,FODDER FIREWOOD FRUITS SHADE SOIL_FERTILITY ,,True,Kenya
,lucina,100,70,SHADE ,,False,Kenya
,mshilingi,1200,1150,CONSTRUCTION FIREWOOD SHADE ,,False,Kenya
,mshilingi,1200,1150,CONSTRUCTION FIREWOOD SHADE ,,False,Kenya
,mshilingi,1200,1150,CONSTRUCTION SHADE ,,False,Kenya
,mshilingi,1200,1150,CONSTRUCTION SHADE ,,False,Kenya
,eucalyptus,180,150,SHADE FIREWOOD CONSTRUCTION ,,False,Kenya
,Gravelia,51,51,SHADE ,,False,Kenya
,cider,50,40,CONSTRUCTION ,,False,Kenya
Moringa oleifera,mkimbo,540,530,MEDICINAL ,,False,Kenya
,Candlenutt,8,8,MEDICINAL NUTS OTHER ,conservation,False,Kenya
,Cassia,20,18,SHADE FIREWOOD ,,False,Kenya
,Croton,5,4,SHADE MEDICINAL ,,False,Kenya
,Grevilea,10,10,SHADE CONSTRUCTION FIREWOOD ,,False,Kenya
,unknown,5,2,SHADE ,,False,Kenya
,mjohoro,50,45,SHADE ,,False,Kenya
,Mchristmass,10,7,SHADE ,,False,Kenya
,Mkongo,2,1,SHADE ,,False,Kenya
,mkrismas,50,38,SHADE ,,False,Kenya
,ashok,10,5,SHADE ,beautification,False,Kenya
,oranges,20,10,SHADE FRUITS FIREWOOD ,,True,Kenya
,mlezeni,30,25,SHADE FIREWOOD CONSTRUCTION ,,False,Kenya
,mango,500,460,SHADE FRUITS FIREWOOD ,,True,Kenya
,mkweo azardrachta,300,164,CONSTRUCTION SHADE FIREWOOD ,,False,Kenya
,Guava tree,10,6,FRUITS ,,True,Kenya
,Pawpaw,75,47,FRUITS ,,True,Kenya
,avacado,50,30,FODDER FIREWOOD FRUITS SHADE ,,True,Kenya
,muriga,30,25,LEAF_VEGETABLES SHADE MEDICINAL ,,False,Kenya
,mukao,50,45,FIREWOOD SHADE ,,False,Kenya
,,3,3,FIREWOOD SHADE ,,False,Kenya
,Kisungwa,40,35,FRUITS FIREWOOD SOIL_FERTILITY ,,True,Kenya
,mango tree,52,49,FRUITS ,,True,Kenya
,Mjohoro,370,300,SHADE ,,False,Kenya
Casuarina equisetifolia,Casuarina,20,10,SOIL_FERTILITY FIREWOOD SHADE CONSTRUCTION ,,False,Kenya
,mango tree,52,49,FRUITS ,,True,Kenya
papai,,10,5,FRUITS ,,True,Kenya
,mkrismas,20,20,FODDER SHADE ,,False,Kenya
,Chinese coffin tree,150,147,CONSTRUCTION ,,False,Kenya
Moringa oleifera,mkimbo,540,530,MEDICINAL ,,False,Kenya
,Zambarau,200,180,FRUITS SHADE MEDICINAL ,,True,Kenya
Mangifera indica,Mango,300,250,SOIL_FERTILITY FRUITS SHADE ,,True,Kenya
,Mwarubaini,5,5,SHADE MEDICINAL FIREWOOD ,,False,Kenya
,Bananas,10,10,FRUITS ,,True,Kenya
Croton megalocarpus,Kithulu,20,18,SHADE FIREWOOD FODDER SOIL_FERTILITY ,,False,Kenya
,Kikalawa,10,8,SHADE FIREWOOD FRUITS SOIL_FERTILITY ,,True,Kenya
Citrus limon,Kitimo,500,480,SHADE FIREWOOD FRUITS SOIL_FERTILITY ,,True,Kenya
,Mpenda bure,100,95,SHADE ,,False,Kenya
,unknown,6,6,SHADE ,,False,Kenya
,Mbuyu,10,10,SHADE ,,False,Kenya
,mukau,162,140,FIREWOOD CONSTRUCTION SHADE SOIL_FERTILITY ,,False,Kenya
,kiembe,80,60,SHADE FIREWOOD FRUITS ,,True,Kenya
,bottle buish,50,40,FIREWOOD OTHER SHADE ,beauty,False,Kenya
,Mango,56,38,SHADE FRUITS ,,True,Kenya
,Lukina,70,51,SHADE ,,False,Kenya
