Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country
Citrus sinensis,Kisungwa,20,10,SHADE FRUITS FODDER SOIL_FERTILITY FIREWOOD MEDICINAL ,,True,Kenya
Grevillea robusta,Mukima,100,70,SHADE FODDER FIREWOOD CONSTRUCTION ,,False,Kenya
,royal palm,20,15,SHADE SOIL_FERTILITY ,flower,False,Kenya
Mangifera indica,Maembe,20,12,SHADE FRUITS FIREWOOD SOIL_FERTILITY ,,True,Kenya
,Masungwa,150,120,SHADE FRUITS FIREWOOD SOIL_FERTILITY ,,True,Kenya
Grevillea robusta,gluveria,3200,3000,SOIL_FERTILITY CONSTRUCTION FIREWOOD SHADE ,,False,Kenya
,Iiyu,500,500,SOIL_FERTILITY FRUITS SHADE FODDER ,,True,Kenya
Carica papaya,kivavai,100,70,FRUITS ,,True,Kenya
Persea americana,ivakato,200,180,SOIL_FERTILITY FRUITS FIREWOOD SHADE ,,True,Kenya
,Kisungwa,50,40,SOIL_FERTILITY FRUITS FIREWOOD SHADE ,,True,Kenya
,mukau,10,8,SOIL_FERTILITY CONSTRUCTION FIREWOOD SHADE FODDER ,,False,Kenya
passiflora edulis,makundi,1000,700,SOIL_FERTILITY FRUITS ,,True,Kenya
Carica papaya,Ivavai,300,250,SOIL_FERTILITY FRUITS ,,True,Kenya
,kiuuku,100,70,SOIL_FERTILITY CONSTRUCTION FIREWOOD SHADE ,,False,Kenya
Carica papaya,pawpaw,3,1,SOIL_FERTILITY FRUITS ,,True,Kenya
,KIEMBE,20,12,FIREWOOD SHADE FRUITS ,,True,Kenya
,mjohoro,300,287,FIREWOOD SHADE ,,False,Kenya
,Ashok,1200,1150,SHADE ,,False,Kenya
,kitomoko,10,3,FRUITS FIREWOOD ,,True,Kenya
,kitomoko,10,3,FRUITS FIREWOOD ,,True,Kenya
,mwarubaini,7,3,CONSTRUCTION SHADE MEDICINAL FIREWOOD ,,False,Kenya
,Jacarada,20,10,SOIL_FERTILITY CONSTRUCTION FIREWOOD ,,False,Kenya
Citrus sinensis,Masungwa,500,350,SOIL_FERTILITY SHADE FRUITS FIREWOOD ,,True,Kenya
Azadirachta indica,neem,15,11,SHADE FODDER SOIL_FERTILITY CONSTRUCTION FIREWOOD MEDICINAL ,,False,Kenya
