Scientific name,Local name,country
,Nyeki,Kenya
Mangifera indica,mango,Kenya
Mangifera indica,Maembe Grafted,Kenya
Persea americana,Ivakato,Kenya
araucaria,Alkeria,Kenya
adonidia,christmas palm,Kenya
Grevillea robusta,Mukima,Kenya
Azadirachta indica,Muharobaini,Kenya
,Thika palm,Kenya
,mumbe,Kenya
Annona muricata,Matomoko,Kenya
,Makundi,Kenya
,Muti muyo,Kenya
Croton megalocarpus,Kithulu,Kenya
Carica papaya,pawpaw,Kenya
,Hibiscus,Kenya
Tamarindus indica,termarind,Kenya
Croton megalocarpus,croton,Kenya
,Golden Palm,Kenya
,Croton ilaa,Kenya
,kithoothya,Kenya
,passion tree,Kenya
,Ashok,Kenya
Citrus limon,Itimo,Kenya
Mangifera indica,Iembe,Kenya
,Makundi,Kenya
Citrus limon,Mitimo,Kenya
Grevillea robusta,gluveria,Kenya
Mangifera indica,Maembe,Kenya
Persea americana,Ivakato,Kenya
Grevillea robusta,Gravellia,Kenya
Croton megalocarpus,mwindi nguku,Kenya
Prunus africana,Mngima,Kenya
Macamia,macamia,Kenya
Eucalyptus camaldulensis,eucalyptus,Kenya
,pixie,Kenya
,lucky bamboo,Kenya
,eucalyptus,Kenya
Neem,Muarobaini,Kenya
Moringa oleifera,muringa,Kenya
,improved senna,Kenya
Casuarina equisetifolia,,Kenya
,Australian grivilles,Kenya
Balanites aegyptiaca,,Kenya
,"iti
iti",Kenya
Citrus paradisi,,Kenya
,casolina,Kenya
,kamunyonyoo,Kenya
,Guavas,Kenya
,snake plant,Kenya
melia volkensii,mukau,Kenya
,Palm,Kenya
,Thika Palm,Kenya
,Pomegranate,Kenya
Grevillea robusta,Grevillea,Kenya
,Umbrella tree,Kenya
Azadirachta indica,Mwarubaini,Kenya
,Passion fruit,Kenya
Grevillea robusta,MUKIMA,Kenya
,Mukengengeta,Kenya
Mangifera indica,mango,Kenya
Azadirachta indica,neem,Kenya
,umbrella tree,Kenya
,tarmarind,Kenya
,melia,Kenya
,Cyprus,Kenya
,grivellia,Kenya
,mchora,Kenya
,mulului,Kenya
,bluegum,Kenya
,lucena,Kenya
Azadirachta indica,neem,Kenya
Mangifera indica,mango,Kenya
,lemon,Kenya
,kitomoko,Kenya
Citrus paradisi,kitimu,Kenya
gluvelia,Gluvelia,Kenya
,mchora,Kenya
,passion,Kenya
papaya,kipapai,Kenya
,muthulu,Kenya
Mangifera indica,kiembe,Kenya
,muchora,Kenya
,kitomoko,Kenya
,kitomoko,Kenya
,kipera,Kenya
,kisambalau,Kenya
,Christmas tree,Kenya
,Kirumbutu,Kenya
,Ashock,Kenya
,Mlezeni,Kenya
Azadirachta indica,Mwarubaini,Kenya
,Mwora,Kenya
,Paper Tree,Kenya
,Mfuranje,Kenya
,Mkunju,Kenya
,Cassia,Kenya
,Trichillia,Kenya
,Macamia,Kenya
,Whiteoak,Kenya
,Kasorina,Kenya
Croton megalocarpus,Croton,Kenya
,Mkrismas,Kenya
,Passion tree,Kenya
,Pomegranate,Kenya
,Mzambarao,Kenya
,Sour soap,Kenya
,Korosho,Kenya
