Scientific name,Local name,country
,kitimu,Kenya
Memecylon klaineanum,Ndido,Kenya
,mango,Kenya
,neem,Kenya
,lemon,Kenya
,mchora,Kenya
,pawpaw,Kenya
,mutomoko,Kenya
,lucena,Kenya
,Christmas tree,Kenya
,passion,Kenya
,croton,Kenya
,dates,Kenya
,lemon,Kenya
,melia,Kenya
,Christmas tree,Kenya
,acacia,Kenya
,mutomoko,Kenya
,croton,Kenya
,neem,Kenya
,termarind,Kenya
,mango,Kenya
,ash oak,Kenya
,mukenea,Kenya
,guava,Kenya
,melia,Kenya
,mango,Kenya
,pawpaw,Kenya
,croton,Kenya
,moringa,Kenya
,munina,Kenya
,grevellea,Kenya
,bleu gum,Kenya
,pondo,Kenya
,avocado,Kenya
,lemon,Kenya
,pawpaw,Kenya
,grevillea,Kenya
,cypress,Kenya
,avocado,Kenya
,avocado grafted,Kenya
,citrus pixie,Kenya
,mukengeta,Kenya
,lemon,Kenya
,guava,Kenya
,bluegum,Kenya
,mukengeta,Kenya
,cypress,Kenya
,grevillea,Kenya
,avocado,Kenya
,mango,Kenya
,lemon,Kenya
,Mpenda bure,Kenya
,Booklet,Kenya
,kukumanga,Kenya
Ficus sur,mkuu,Kenya
key apple,mumbuchi,Kenya
Avacado,Avacado,Kenya
Prunus africana,Mngima,Kenya
Mpodo,Mpodo,Kenya
Msuruwachi,Msuruwachi,Kenya
Bush coffee,coffee,Kenya
Syzygium germainii,Zambarau mwitu,Kenya
cypruss,Cypruss,Kenya
Podocarpus henkelii,Podo,Kenya
Prunus africana,Grevilia,Kenya
Croton megalocarpus,croton,Kenya
Eucalyptus globulus,Eucalyptus,Kenya
makamia luteya,macamia,Kenya
Eucalyptus camaldulensis,musanduku,Kenya
Unknown,mapakato,Kenya
Grevillea robusta,Grivellia,Kenya
,Jamaican cherry,Kenya
Mangifera indica,muembe,Kenya
,kalila,Kenya
,muchora,Kenya
,kipela,Kenya
,muthiia,Kenya
,kikwasu,Kenya
,kitimu,Kenya
,kikuyu,Kenya
,papai,Kenya
,lucina,Kenya
,kikundi,Kenya
,mwarubaini,Kenya
Gluema korupensis,Gravelia,Kenya
,sandala,Kenya
,Kikuyu,Kenya
citrus raticulata,pixie,Kenya
citrus sinensis,oranges,Kenya
Citrus paradisi,mutimu,Kenya
,kithulu,Kenya
,kiatine,Kenya
,muthi,Kenya
,muringa,Kenya
,mukau,Kenya
,mukengeta,Kenya
,papaya,Kenya
,Karusina,Kenya
Acacia abyssinica,Acacia,Kenya
Grevillea robusta,Gluveria,Kenya
Croton megalocarpus,Kithulu,Kenya
Moringa oleifera,Moringa,Kenya
,cypress,Kenya
,muvengele,Kenya
,avocado,Kenya
,kivakato,Kenya
,mutalakwe,Kenya
,mndido,Kenya
albisium,mrimbo,Kenya
,white supporter,Kenya
,white supporter,Kenya
albisium,Mrimbo,Kenya
,Ndido,Kenya
,kithulu,Kenya
,Avocado,Kenya
,mwembe,Kenya
,avocado,Kenya
,Lemon seedlings,Kenya
,grevellia,Kenya
,Grafted avocado,Kenya
,beautification flowers,Kenya
,bluegum,Kenya
zamalos,,Kenya
sychotria,,Kenya
,msumbesu,Kenya
,mzambarau mwitu,Kenya
prunous africana,mgima,Kenya
,Ndido,Kenya
,Bambuu,Kenya
gravillea robusta,mgivilia,Kenya
Prunus africana,Mngima,Kenya
,msumbesu,Kenya
,Mtunda tindi,Kenya
,Mpera,Kenya
,Mlusu,Kenya
