Uploaded Date,Date Collected,Engagement Date,Data Collector,Project Name,Country Name,County Name,Subcounty Name,Engagement Venue,Engagement Type,Other Engagement Type,Policy Issue,Other Policy Issue,Total Participants,Key Participants,Male Participants,Female Participants,Youth Participants,Photo,Comment
2025-07-29 21:30:37,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-07-30 13:02:59,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-07-30 13:04:14,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-07-30 17:16:24,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-08-01 19:43:15,2025-07-29,2025-07-29,GEORGE MUSYOKI,UKPact_NbS,Kenya,Makueni,Kibwezi East,lukenya University Mtito Andei,WORKSHOP_PERSON,,BUILDING_RELATIONSHIPS - SCALING,,12,Esther Muli Shadrack Benard Kivyatu,10,2,3,https://radrs.icraf.org/uploaded/media/JPEG_c1d08dd0-75fd-4e59-9d10-c07f370cdc0c_161870891140451315.jpg,
2025-08-09 17:25:41,2025-08-09,2025-08-06,Silas Muthuri,UKPact_NbS,Kenya,Makueni,Makueni,Wote  Makueni LL FARMERS COMPOUND,TRAINING,,SCALING,,43,Afrogrow Partners,18,25,23,https://radrs.icraf.org/uploaded/media/JPEG_2918ff0e-ecd9-4e5a-bc98-274010290076_5686573319713097074.jpg,
2025-08-27 16:58:43,2025-08-21,2025-08-21,Silas Muthuri,UKPact_NbS,Kenya,Makueni,Mbooni,farmers farm,TRAINING,,SCALING,agroforestry composting,0,KFS NATIONAL GOVT,0,0,0,None,None
2025-08-27 16:58:44,2025-08-26,2025-08-26,Silas Muthuri,UKPact_NbS,Kenya,Makueni,Mbooni,Ngunguu forest block,TRAINING,,SCALING,,28,CFA,14,14,6,https://radrs.icraf.org/uploaded/media/JPEG_e62b6c9f-d873-4969-bcee-745e4056209a_3536786174652666759.jpg,
2025-09-21 10:31:34,2025-08-27,2025-08-27,Onesmus Mulinge,UKPact_NbS,Kenya,Makueni,Mbooni,ngunguu,TRAINING,,SCALING,,3,Farmers County,1,1,1,https://radrs.icraf.org/uploaded/media/JPEG_4808d653-ab4a-4c23-ae1b-8dd0a5979295_8837956429018821838.jpg,l have gained knowledge of decomposing manure during training   and also how make nursery beds
2025-09-21 10:30:43,2025-08-27,2025-08-27,Onesmus Mulinge,UKPact_NbS,Kenya,Makueni,Mbooni,ngunguu,TRAINING,,SCALING,,3,Farmers County,1,1,1,https://radrs.icraf.org/uploaded/media/JPEG_4808d653-ab4a-4c23-ae1b-8dd0a5979295_8837956429018821838.jpg,l have gained knowledge of decomposing manure during training   and also how make nursery beds
