,Scientific name,Local name,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
35,Persea americana,Avacado,Kenya,avacado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avacado,,J,persea americana,0,Accepted,scientific_name,avocado,Avokado,both,Persea americana
36,Delonix regia,Mkrismas,Kenya,mkrismas,local_name (replaced NA),Kenya,Delonix regia (Bojer ex Hook.) Raf.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Delonix,Delonix regia,100,Delonix regia,mkrismas,Kenya,V,delonix regia,0,Accepted,scientific_name,mrismas,mkrismas,both,Delonix regia
37,Dombeya rotundifolia,Wild apple,Kenya,wild apple,local_name (replaced NA),Kenya,Dombeya rotundifolia (Hochst.) Planch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malvales,Malvaceae,Dombeya,Dombeya rotundifolia,99,Dombeya rotundifolia,Wild pear,Zambia,R,dombeya rotundifolia,0.087222222,Accepted,scientific_name,mutoo,Mutoo,both,Dombeya rotundifolia
38,Melia azedarach,Mpenda bure,Kenya,mpenda bure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
39,Delonix regia,Mkrismas,Kenya,mkrismas,local_name (replaced NA),Kenya,Delonix regia (Bojer ex Hook.) Raf.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Delonix,Delonix regia,100,Delonix regia,mkrismas,Kenya,V,delonix regia,0,Accepted,scientific_name,mrismas,mkrismas,both,Delonix regia
40,Oxytenanthera abyssinica,bamboo,Kenya,bamboo,local_name (replaced NA),Kenya,Oxytenanthera abyssinica (A.Rich.) Munro,SPECIES,ACCEPTED,Plantae,Tracheophyta,Poales,Poaceae,Oxytenanthera,Oxytenanthera abyssinica,100,Oxytenanthera abyssinica,bamboo,Kenya,V,oxytenanthera abyssinica,0,Accepted,scientific_name,bamboo,bamboo,both,Oxytenanthera abyssinica
41,Persea americana,Ovacado,Kenya,ovacado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,muovacado,Kenya,V,persea americana,0.074074074,Accepted,scientific_name,avocado,Avokado,both,Persea americana
42,Melia volkensii,Kirumbutu,Kenya,kirumbutu,local_name (replaced NA),Kenya,Melia volkensii Gürke,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia volkensii,100,Melia volkensii,Kirumbutu,Kenya,R,melia volkensii,0,Accepted,scientific_name,kirumbutu,Kirumbutu,both,Melia volkensii
43,Faidherbia albida,,Kenya,nan,local_name (replaced NA),Kenya,Faidherbia albida (Delile) A.Chev.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Faidherbia,Faidherbia albida,100,Faidherbia albida,nanda,Tanzania,R,faidherbia albida,0.093333333,Accepted,scientific_name,nan,nanda,both,Faidherbia albida
44,Persea americana,Avocado,Kenya,avocado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,Avokado,Kenya,R,persea americana,0.066666667,Accepted,scientific_name,avocado,Avokado,both,Persea americana
45,Monoon longifolium,Ash oak,Kenya,ash oak,local_name (replaced NA),Kenya,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,SPECIES,SYNONYM,Plantae,Tracheophyta,Magnoliales,Annonaceae,Polyalthia,Polyalthia longifolia,100,Monoon longifolium,ash oak,Kenya,V,monoon longifolium,0,Accepted,scientific_name,ashok,ashok,both,Monoon longifolium
46,Mangifera indica,Mangoes,Kenya,mangoes,local_name (replaced NA),Kenya,Mangifera indica L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Anacardiaceae,Mangifera,Mangifera indica,99,Mangifera indica,mangoes,Kenya,V,mangifera indica,0,Accepted,scientific_name,mangoes,mangoes,both,Mangifera indica
47,Melia azedarach,Mpenda bure,Kenya,mpenda bure,local_name (replaced NA),Kenya,Melia azedarach L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Sapindales,Meliaceae,Melia,Melia azedarach,99,Melia azedarach,mpenda bure,Kenya,V,melia azedarach,0,Accepted,scientific_name,mpenda bure,mpenda bure,both,Melia azedarach
48,Passiflora edulis,Passion ,Kenya,passion,local_name (replaced NA),Kenya,Passiflora edulis Sims,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Passifloraceae,Passiflora,Passiflora edulis,100,Passiflora edulis,passion,,J,passiflora edulis,0,Accepted,scientific_name,kikundi,kikundi,both,Passiflora edulis
49,Dovyalis caffra,Kayaba,Kenya,kayaba,local_name (replaced NA),Kenya,Dovyalis caffra (Hook.fil. & Harv.) Warb.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Salicaceae,Dovyalis,Dovyalis caffra,99,Dovyalis caffra,Kaiyaba,Kenya,R,dovyalis caffra,0.038095238,Accepted,scientific_name,kayaba,Kaiyaba,both,Dovyalis caffra
50,Senna siamea,Mjohoro,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
51,Grevillea robusta,Grivellia,Kenya,grivellia,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,grivellia,,J,grevillea robusta,0,Accepted,scientific_name,mukirismas,Mukima,both,Grevillea robusta
52,,Bongavilla,Kenya,bongavilla,local_name (replaced NA),Kenya,,,,,,,,,,,,Boganvilia,Kenya,V,bougainvillea,0.082962963,Accepted,scientific_name,,,both,
53,Arundinaria alpina,mrangi,Kenya,mrangi,local_name (replaced NA),Kenya,Arundinaria alpina K.Schum.,SPECIES,SYNONYM,Plantae,Tracheophyta,Poales,Poaceae,Oldeania,Oldeania alpina,100,Arundinaria alpina,Mrangi,Kenya,R,arundinaria alpina,0,Accepted,scientific_name,mrangi,Mrangi,both,Arundinaria alpina
54,Vachellia,mlevulia,Kenya,mlevulia,local_name (replaced NA),Kenya,Vachellia Wight & Arn.,GENUS,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Vachellia,,99,Vachellia,mlula,Tanzania,R,acacia seyal,0.1,Accepted,scientific_name,mgunga,Mgunga,both,Vachellia
55,Carica papaya,mpapai,Kenya,mpapai,local_name (replaced NA),Kenya,Carica papaya L.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Brassicales,Caricaceae,Carica,Carica papaya,100,Carica papaya,mpapai,Tanzania,R,carica papaya,0,Accepted,scientific_name,kivavai,kivavai,both,Carica papaya
56,Entada abyssinica,mu embe,Kenya,mu embe,local_name (replaced NA),Kenya,Entada abyssinica Steud. ex A.Rich.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Entada,Entada abyssinica,99,Entada abyssinica,Musembe,Uganda,R,entada abyssinica,0.076190476,Accepted,scientific_name,mu embe,Musembe,both,Entada abyssinica
57,,ongolua yellow ,Kenya,ongolua yellow,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
58,,mngima,Kenya,mngima,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
59,Persea americana,ovacado,Kenya,ovacado,local_name (replaced NA),Kenya,Persea americana Mill.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Laurales,Lauraceae,Persea,Persea americana,99,Persea americana,muovacado,Kenya,V,persea americana,0.074074074,Accepted,scientific_name,avocado,Avokado,both,Persea americana
60,Croton megalocarpus,croton,Kenya,croton,local_name (replaced NA),Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,Croton,Uganda,R,croton megalocarpus,0,Accepted,scientific_name,mkigara,Mkigara,both,Croton megalocarpus
61,Cordia sinensis,mndemu,Kenya,mndemu,local_name (replaced NA),Kenya,Cordia sinensis Lam.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Boraginales,Cordiaceae,Cordia,Cordia sinensis,100,Cordia sinensis,mnembu,Tanzania,R,cordia sinensis,0.088888889,Accepted,scientific_name,mndemu,mnembu,both,Cordia sinensis
62,,Ndido,Kenya,ndido,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
