Scientific Name,Local Name,Tree Usage,Other Usages,has_fruits
Acacia tortillis,Mwaa,SHADE FODDER FIREWOOD SOIL_FERTILITY ,,False
,Kiumo,SHADE FIREWOOD CONSTRUCTION SOIL_FERTILITY ,shrine,False
,Kiamba,FRUITS SHADE SOIL_FERTILITY ,Weaving,True
,Ikuu,SHADE FIREWOOD SOIL_FERTILITY ,,False
,porozi,MEDICINAL FIREWOOD SHADE ,,False
,mshigha,SHADE FIREWOOD SOIL_FERTILITY ,,False
,mwalungombe,SHADE FIREWOOD ,,False
,porozi,CONSTRUCTION SHADE SOIL_FERTILITY FIREWOOD MEDICINAL ,,False
,iti ya wasi,CONSTRUCTION SHADE FIREWOOD ,,False
,Muuku,CONSTRUCTION SHADE FIREWOOD ,,False
,Itiithi,FIREWOOD ,,False
,Mwaa,FIREWOOD ,,False
,kisele,FODDER SHADE FIREWOOD ,,False
,Magoo,FODDER SHADE FRUITS FIREWOOD ,,True
,kiongoa,SHADE FIREWOOD ,,False
,kithulu,SHADE MEDICINAL FIREWOOD ,,False
,kiama,CONSTRUCTION SHADE FIREWOOD ,,False
,kimwaa,SHADE FIREWOOD ,,False
,Muva,SHADE FRUITS FIREWOOD ,Fencing,True
,Muti Mwilu,SOIL_FERTILITY SHADE FIREWOOD ,Fencing,False
,Muumo,SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,Shrine Fencing,False
,Muthea,SOIL_FERTILITY CONSTRUCTION SHADE FRUITS FIREWOOD ,,True
,Mwela ndathe,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,Carving,False
,Mwaa woosi,SOIL_FERTILITY SHADE FIREWOOD ,Carving,False
,Mukumi,SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Itula,SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,beehives,False
,Mulela,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Muthata,SOIL_FERTILITY SHADE FIREWOOD ,Carving,False
,Kiluli,SOIL_FERTILITY FIREWOOD ,Carving Fencing,False
,Chapati ya Mbuzi,FODDER SOIL_FERTILITY SHADE FIREWOOD ,,False
Tamarindus indica,Mukwasu,SOIL_FERTILITY SHADE FRUITS FIREWOOD ,,True
,Mukumi,CONSTRUCTION FIREWOOD ,Fencing,False
,Kiuuku,FODDER SOIL_FERTILITY SHADE FIREWOOD ,,False
Syzygium germainii,zambarau,FODDER SOIL_FERTILITY FRUITS FIREWOOD ,,True
,Mwenyea accacia,FODDER FIREWOOD ,,False
,Kikomoa,FRUITS FIREWOOD CONSTRUCTION ,,True
,a xanthophloea,FODDER FIREWOOD CONSTRUCTION ,,False
,croton,FIREWOOD CONSTRUCTION MEDICINAL ,,False
,kitomoko,FRUITS SHADE ,,True
,Muunga,SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,Fencing,False
,Muthiiya,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Mukemei,FODDER SHADE MEDICINAL FIREWOOD ,,False
,zambarau,SHADE FRUITS ,,True
,Mwiwa,FODDER SOIL_FERTILITY FIREWOOD OTHER ,,False
,Mululi,FODDER SOIL_FERTILITY SHADE FIREWOOD ,,False
,Kiundwa,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Kiuku,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Kisemei,FODDER SOIL_FERTILITY SHADE MEDICINAL FIREWOOD ,,False
,Mwaa,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Mwela ndathe,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Ikuu,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,Fencing,False
,Muthiiya,FODDER SOIL_FERTILITY SHADE FIREWOOD ,,False
,Itithi,FODDER SOIL_FERTILITY CONSTRUCTION SHADE FIREWOOD ,,False
,Kiuua,SOIL_FERTILITY SHADE FRUITS FIREWOOD ,,True
,Muvingo,FODDER SOIL_FERTILITY SHADE FIREWOOD ,Carving,False
,lusina,SHADE ,,False
,Msoda,SHADE ,,False
,Mchristmass,SHADE ,,False
,Mwaghare,SHADE FIREWOOD ,,False
,Chariso,SOIL_FERTILITY ,,False
Acacia nubica,Iti ya wasi,FIREWOOD ,,False
,Lusina,SOIL_FERTILITY FODDER ,,False
Acacia mellifera,Iti,SOIL_FERTILITY FIREWOOD ,,False
,Mojha,MEDICINAL OTHER ,Fibre,False
,Ndomoko,FRUITS CONSTRUCTION MEDICINAL FIREWOOD FODDER ,,True
,Chariso,SOIL_FERTILITY SHADE ,,False
senna siamea,muchora,SHADE FIREWOOD ,,False
Tamarindus indica,Mkwaju,FRUITS SHADE MEDICINAL FODDER ,,True
,Mkungu,FRUITS SHADE FIREWOOD NUTS ,,True
Albizia anthelmintica,Porozi,SOIL_FERTILITY MEDICINAL FIREWOOD ,,False
,Yellow Elder,SHADE ,,False
Albizia anthelmintica,Porozi,SOIL_FERTILITY SHADE MEDICINAL FIREWOOD ,,False
Acacia tortillis,Wapugha,FIREWOOD OTHER ,Fencing,False
,Lusina,SOIL_FERTILITY SHADE FODDER ,,False
,Kisundi,SHADE FIREWOOD ,,False
,Mtunguri,SHADE FIREWOOD ,,False
Albizia anthelmintica,Porozi,SOIL_FERTILITY SHADE MEDICINAL FIREWOOD ,,False
,Mshigja,SOIL_FERTILITY SHADE MEDICINAL FIREWOOD FODDER ,,False
Prunus africana,Mngima,SHADE FIREWOOD ,,False
,Mojha,MEDICINAL OTHER ,Fibre,False
Acacia tortillis,Wapugha,SHADE FIREWOOD ,,False
,Chariso,SOIL_FERTILITY ,,False
Ficus sycomorus,Mkuyu,SOIL_FERTILITY SHADE ,,False
,Mshasha,SOIL_FERTILITY SHADE FIREWOOD ,,False
,Lusina,SOIL_FERTILITY SHADE FODDER ,,False
