,Tree Scientific Name,Tree Local Name,Total Trees Planted,Total Trees Survived,Tree Usage,Other Tree Usages,has_fruits,country_x,verbatim_name,nameSource_x,country_y,scientificName,rank,status,kingdom,phylum,order,family,genus,species,confidence,canonicalName,species_matched_from_accepted,country_matched_from,source,verbatim_name_from_gbif,match_score,match_status,nameSource_y,original_name_gbif_local,species_matched_from_gbif_local,_merge,cleaned_scientific_name
650,Croton megalocarpus,Croton,5,4,SHADE MEDICINAL ,,FALSE,Kenya,croton,local_name (replaced NA),Kenya,Croton megalocarpus Hutch.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Malpighiales,Euphorbiaceae,Croton,Croton megalocarpus,100,Croton megalocarpus,Croton,Uganda,R,croton megalocarpus,0,Accepted,scientific_name,muthulu,muthulu,both,Croton megalocarpus
651,Grevillea robusta,Grevilea,10,10,SHADE CONSTRUCTION FIREWOOD ,,FALSE,Kenya,grevilea,local_name (replaced NA),Kenya,Grevillea robusta A.Cunn. ex R.Br.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Proteales,Proteaceae,Grevillea,Grevillea robusta,99,Grevillea robusta,grevillea,,T,grevillea robusta,0.022222222222222254,Accepted,scientific_name,mukima,Mukima,both,Grevillea robusta
652,,unknown,5,2,SHADE ,,FALSE,Kenya,unknown,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
653,Senna siamea,mjohoro,50,45,SHADE ,,FALSE,Kenya,mjohoro,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mjohoro,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
654,,Mchristmass,10,7,SHADE ,,FALSE,Kenya,mchristmass,local_name (replaced NA),,,,,,,,,,,,,,,,,,,,,,left_only,
655,Ocotea usambarensis,Mkongo,2,1,SHADE ,,FALSE,Kenya,mkongo,local_name (replaced NA),Kenya,Ocotea usambarensis Engl.,SPECIES,SYNONYM,Plantae,Tracheophyta,Laurales,Lauraceae,Kuloa,Kuloa usambarensis,100,Ocotea usambarensis,Mkongo,Kenya,R,ocotea usambarensis,0,Accepted,scientific_name,mkongo,Mkongo,both,Ocotea usambarensis
656,Delonix regia,mkrismas,50,38,SHADE ,,FALSE,Kenya,mkrismas,local_name (replaced NA),Kenya,Delonix regia (Bojer ex Hook.) Raf.,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Delonix,Delonix regia,100,Delonix regia,mkrismas,Kenya,V,delonix regia,0,Accepted,scientific_name,mkrismas,mkrismas,both,Delonix regia
657,Monoon longifolium,ashok,10,5,SHADE ,beautification,FALSE,Kenya,ashok,local_name (replaced NA),Kenya,Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders,SPECIES,SYNONYM,Plantae,Tracheophyta,Magnoliales,Annonaceae,Polyalthia,Polyalthia longifolia,100,Monoon longifolium,ashok,Kenya,V,monoon longifolium,0,Accepted,scientific_name,ashok,ashok,both,Monoon longifolium
658,Citrus sinensis,oranges,20,10,SHADE FRUITS FIREWOOD ,,TRUE,Kenya,oranges,local_name (replaced NA),Kenya,"Citrus sinensis (Mill.) Pers., 1806",SPECIES,SYNONYM,Plantae,Tracheophyta,Sapindales,Rutaceae,Citrus,Citrus aurantium,99,Citrus sinensis,orange,Kenya,V,citrus sinensis,0.028571429,Accepted,scientific_name,kisungwa,kisungwa,both,Citrus sinensis
659,Senna siamea,mlezeni,30,25,SHADE FIREWOOD CONSTRUCTION ,,FALSE,Kenya,mlezeni,local_name (replaced NA),Kenya,Senna siamea (Lam.) H.S.Irwin & Barneby,SPECIES,ACCEPTED,Plantae,Tracheophyta,Fabales,Fabaceae,Senna,Senna siamea,100,Senna siamea,mlezeni,Kenya,V,senna siamea,0,Accepted,scientific_name,mjohoro,mjohoro,both,Senna siamea
